Year,Country / territory of asylum/residence,Latitude,Longitude,Origin,RSD procedure type / level,Total persons pending start-year,of which UNHCR-assisted,Applied during year,statistics.filter.decisions_recognized,statistics.filter.decisions_other,Rejected,Otherwise closed,Total decisions,Total persons pending end-year,of which UNHCR-assisted
2007,Bolivia,-16.29015,-63.58865,Eritrea,G / FI,0,0,98,0,0,0,5,5,93,91
2008,Bolivia,-16.29015,-63.58865,Eritrea,G / FI,93,91,0,0,0,4,40,44,49,2
2009,Bolivia,-16.29015,-63.58865,Eritrea,G / FI,49,2,0,0,0,0,49,49,0,0
2010,Bonaire,12.17836,-68.23853,Eritrea,G / FI,0,0,1,0,0,0,0,,1,0
2012,Bosnia and Herzegovina,43.91589,17.67908,Eritrea,G / FA,0,0,3,0,3,0,0,3,0,0
2001,Botswana,-22.32847,24.68487,Eritrea,G / FI,0,0,6,1,0,0,0,1,5,5
2002,Botswana,-22.32847,24.68487,Eritrea,G / FI,5,5,0,0,0,0,0,,5,5
2003,Botswana,-22.32847,24.68487,Eritrea,G / FI,5,5,0,0,0,0,0,,5,5
2004,Botswana,-22.32847,24.68487,Eritrea,G / FI,5,5,0,0,0,0,0,,5,5
2005,Botswana,-22.32847,24.68487,Eritrea,G / FI,5,5,0,0,0,0,5,5,0,0
2009,Brazil,-14.235,-51.92528,Eritrea,G / FI,2,2,26,4,0,1,0,5,23,22
2008,Brazil,-14.235,-51.92528,Eritrea,G / FI,21,21,20,0,0,1,15,16,25,21
2007,Brazil,-14.235,-51.92528,Eritrea,G / FI,4,4,18,0,0,0,1,1,21,21
2012,Brazil,-14.235,-51.92528,Eritrea,G / FI,5,8,15,0,0,0,1,1,19,6
2010,Brazil,-14.235,-51.92528,Eritrea,G / FI,23,22,11,9,0,18,0,27,7,7
2006,Brazil,-14.235,-51.92528,Eritrea,G / FI,0,0,9,5,0,0,0,5,4,4
2014,Brazil,-14.235,-51.92528,Eritrea,G / FI,*,*,9,0,0,*,0,*,10,*
2011,Brazil,-14.235,-51.92528,Eritrea,G / FI,7,11,6,1,0,0,0,1,12,8
2013,Brazil,-14.235,-51.92528,Eritrea,G / FI,19,6,2,4,0,1,14,19,2,2
2005,Brazil,-14.235,-51.92528,Eritrea,G / FA,0,0,1,1,0,0,0,1,0,0
2013,Bulgaria,42.73388,25.48583,Eritrea,G / FI,1,0,28,0,1,1,11,13,16,16
2014,Bulgaria,42.73388,25.48583,Eritrea,G / FI,16,16,12,0,*,*,24,28,16,16
2001,Bulgaria,42.73388,25.48583,Eritrea,G / FI,0,0,9,0,5,1,0,6,3,0
2007,Bulgaria,42.73388,25.48583,Eritrea,G / FA,1,0,2,0,2,0,0,2,1,0
2010,Bulgaria,42.73388,25.48583,Eritrea,G / FI,1,0,2,0,1,0,0,1,2,0
2012,Bulgaria,42.73388,25.48583,Eritrea,G / FA,0,0,1,0,0,0,0,,0,0
2002,Bulgaria,42.73388,25.48583,Eritrea,G / FI,3,0,0,0,2,0,0,2,1,0
2003,Bulgaria,42.73388,25.48583,Eritrea,G / FI,1,0,0,0,0,0,0,,1,0
2004,Bulgaria,42.73388,25.48583,Eritrea,G / FI,1,0,0,0,0,0,0,,1,0
2005,Bulgaria,42.73388,25.48583,Eritrea,G / FI,1,0,0,0,0,0,0,,1,0
2006,Bulgaria,42.73388,25.48583,Eritrea,G / FI,1,0,0,0,0,0,0,,1,0
2008,Bulgaria,42.73388,25.48583,Eritrea,G / FI,1,0,0,0,0,0,0,,1,0
2009,Bulgaria,42.73388,25.48583,Eritrea,G / FI,1,0,0,0,0,0,0,,1,0
2011,Bulgaria,42.73388,25.48583,Eritrea,G / FA,2,0,0,0,0,0,2,2,0,0
2013,Burkina Faso,12.23833,-1.56159,Eritrea,G / FI,1,1,2,1,0,0,0,1,2,2
2012,Burkina Faso,12.23833,-1.56159,Eritrea,G / FI,0,0,1,0,0,0,0,,1,1
2002,Burkina Faso,12.23833,-1.56159,Eritrea,G / FI,7,0,0,0,0,0,0,,7,0
2014,Burkina Faso,12.23833,-1.56159,Eritrea,G / FI,*,*,0,0,0,0,*,*,0,0
2014,Cambodia,12.56568,104.99096,Eritrea,G / FI,0,0,0,0,0,*,0,*,0,0
2014,Cambodia,12.56568,104.99096,Eritrea,G / AR,0,0,0,0,0,0,0,,*,*
2002,Cambodia,12.56568,104.99096,Eritrea,U / FI,0,0,2,0,0,0,2,2,0,0
2011,Cameroon,7.36972,12.35472,Eritrea,U / FA,1,1,5,5,0,0,0,5,1,1
2008,Cameroon,7.36972,12.35472,Eritrea,U / FA,0,0,2,0,0,0,0,,2,2
2012,Cameroon,7.36972,12.35472,Eritrea,U / FA,1,1,2,0,0,0,2,2,1,1
2010,Cameroon,7.36972,12.35472,Eritrea,U / FI,0,0,1,0,0,0,0,,1,1
2011,Cameroon,7.36972,12.35472,Eritrea,U / RA,0,0,1,0,0,0,0,,1,1
2009,Cameroon,7.36972,12.35472,Eritrea,U / FA,2,2,0,2,0,0,0,2,0,0
2012,Cameroon,7.36972,12.35472,Eritrea,U / RA,1,1,0,0,0,0,1,1,0,0
2013,Cameroon,7.36972,12.35472,Eritrea,U / FI,1,1,0,0,0,0,0,,1,1
2014,Cameroon,7.36972,12.35472,Eritrea,U / FI,*,*,0,*,0,0,0,*,0,0
2014,Canada,56.13037,-106.34677,Eritrea,G / FI,183,0,240,203,0,27,6,236,100,0
2008,Canada,56.13037,-106.34677,Eritrea,G / FI,180,0,212,58,0,2,11,71,321,0
2012,Canada,56.13037,-106.34677,Eritrea,G / FI,150,0,209,154,0,17,4,175,186,0
2013,Canada,56.13037,-106.34677,Eritrea,G / FI,186,0,204,158,0,32,11,201,183,0
2009,Canada,56.13037,-106.34677,Eritrea,G / FI,321,0,200,236,0,3,8,247,274,0
2011,Canada,56.13037,-106.34677,Eritrea,G / FI,247,0,171,244,0,8,13,265,150,0
2007,Canada,56.13037,-106.34677,Eritrea,G / FA,131,0,164,107,0,7,1,115,180,0
2004,Canada,56.13037,-106.34677,Eritrea,G / FI,148,0,155,149,0,6,8,163,140,0
2006,Canada,56.13037,-106.34677,Eritrea,G / FI,115,0,151,116,0,15,2,133,133,0
2005,Canada,56.13037,-106.34677,Eritrea,G / FI,143,0,148,163,0,9,4,176,115,0
2001,Canada,56.13037,-106.34677,Eritrea,G / FI,113,0,144,61,0,5,3,69,188,0
2010,Canada,56.13037,-106.34677,Eritrea,G / FI,274,0,138,144,0,6,11,161,247,0
2003,Canada,56.13037,-106.34677,Eritrea,G / FI,182,0,107,114,0,16,12,142,148,0
2000,Canada,56.13037,-106.34677,Eritrea,G / FI,82,0,97,56,0,10,5,71,113,0
2002,Canada,56.13037,-106.34677,Eritrea,G / FI,188,0,84,70,0,8,8,86,182,0
2014,Canada,56.13037,-106.34677,Eritrea,G / AR,0,0,0,0,0,12,*,13,16,0
2014,Chad,15.45417,18.73221,Eritrea,G / FA,5,5,0,0,0,0,0,,7,7
2012,Chad,15.45417,18.73221,Eritrea,G / FA,1,1,36,35,0,0,0,35,2,2
2013,Chad,15.45417,18.73221,Eritrea,G / FA,2,2,6,3,0,0,0,3,5,5
2005,Chad,15.45417,18.73221,Eritrea,G / FA,0,0,5,0,3,0,0,3,2,0
2006,Chad,15.45417,18.73221,Eritrea,G / FA,2,0,1,0,0,1,2,3,0,0
2007,Chad,15.45417,18.73221,Eritrea,G / FA,0,0,1,0,0,0,0,,1,0
2011,Chad,15.45417,18.73221,Eritrea,J / FI,0,0,1,0,0,0,0,,1,1
2008,Chad,15.45417,18.73221,Eritrea,J / FI,1,0,0,0,0,1,0,1,0,0
2005,Chile,-35.67515,-71.54297,Eritrea,G / FI,0,0,1,0,0,0,0,,1,1
2007,Chile,-35.67515,-71.54297,Eritrea,G / FI,1,1,1,0,0,1,0,1,1,1
2006,Chile,-35.67515,-71.54297,Eritrea,G / FI,1,1,0,0,0,0,0,,1,1
2008,Chile,-35.67515,-71.54297,Eritrea,G / FI,1,1,0,0,0,0,0,,1,1
2007,China,35.86166,104.1954,Eritrea,U / FA,0,0,5,3,0,0,1,4,1,0
2012,China,35.86166,104.1954,Eritrea,U / FA,0,0,4,0,0,0,0,,4,0
2005,China,35.86166,104.1954,Eritrea,U / FA,0,0,3,0,0,0,0,,3,0
2008,China,35.86166,104.1954,Eritrea,U / FI,1,0,2,0,0,0,3,3,0,0
2009,China,35.86166,104.1954,Eritrea,U / FA,0,0,2,0,0,2,0,2,0,0
2002,China,35.86166,104.1954,Eritrea,U / FI,0,0,1,1,0,0,0,1,0,0
2006,China,35.86166,104.1954,Eritrea,U / FA,3,0,1,3,0,1,0,4,0,0
2013,China,35.86166,104.1954,Eritrea,U / FA,4,0,0,0,0,0,0,,4,0
2014,China,35.86166,104.1954,Eritrea,U / FI,*,0,0,*,0,0,0,*,0,0
2009,Colombia,4.57087,-74.29733,Eritrea,G / FI,17,17,132,3,0,118,0,121,28,28
2010,Colombia,4.57087,-74.29733,Eritrea,G / FI,28,28,32,1,0,0,28,29,31,31
2008,Colombia,4.57087,-74.29733,Eritrea,G / FI,5,5,13,0,0,0,1,1,17,17
2014,Colombia,4.57087,-74.29733,Eritrea,G / FI,0,0,12,0,0,*,*,5,7,0
2011,Colombia,4.57087,-74.29733,Eritrea,G / FI,31,31,7,0,0,3,4,7,31,31
2007,Colombia,4.57087,-74.29733,Eritrea,G / FI,0,0,5,0,0,0,0,,5,5
2009,Colombia,4.57087,-74.29733,Eritrea,G / AR,0,0,4,0,0,4,0,4,0,0
2011,Colombia,4.57087,-74.29733,Eritrea,G / AR,0,0,1,0,0,1,0,1,0,0
2012,Colombia,4.57087,-74.29733,Eritrea,G / FI,31,31,0,0,0,2,29,31,0,0
2013,Congo [Republic],-0.22802,15.82766,Eritrea,G / FI,0,0,2,0,0,0,0,,2,2
2010,Congo [Republic],-0.22802,15.82766,Eritrea,U / FI,0,0,1,0,0,0,0,,1,1
2012,Congo [Republic],-0.22802,15.82766,Eritrea,U / FI,1,1,1,2,0,0,0,2,0,0
2011,Congo [Republic],-0.22802,15.82766,Eritrea,U / FI,1,1,0,0,0,0,0,,1,1
2014,Congo [Republic],-0.22802,15.82766,Eritrea,U / FI,*,*,0,0,0,0,0,,*,*
2010,Costa Rica,9.74892,-83.75343,Eritrea,G / FI,34,34,80,0,0,0,114,114,0,0
2009,Costa Rica,9.74892,-83.75343,Eritrea,G / FA,2,2,34,2,0,0,0,2,34,34
2008,Costa Rica,9.74892,-83.75343,Eritrea,G / FA,0,0,2,0,0,0,0,,2,2
2011,Costa Rica,9.74892,-83.75343,Eritrea,G / FI,0,0,2,0,0,0,0,,2,2
2013,Costa Rica,9.74892,-83.75343,Eritrea,G / FI,0,0,1,0,0,1,0,1,0,0
2012,Costa Rica,9.74892,-83.75343,Eritrea,G / FI,2,2,0,0,0,0,2,2,0,0
2014,Costa Rica,9.74892,-83.75343,Eritrea,G / FI,5,5,0,0,0,0,5,5,0,0
2008,Cote d'Ivoire,7.53999,-5.54708,Eritrea,G / FA,0,0,0,0,0,1,0,1,1,0
2000,Cote d'Ivoire,7.53999,-5.54708,Eritrea,G / FI,0,0,0,0,0,0,0,,1,1
2001,Cote d'Ivoire,7.53999,-5.54708,Eritrea,G / FI,1,1,0,0,0,0,0,,2,2
2003,Cote d'Ivoire,7.53999,-5.54708,Eritrea,J / FI,1,1,0,1,0,0,0,1,1,1
2009,Cote d'Ivoire,7.53999,-5.54708,Eritrea,G / FA,1,0,0,1,0,0,0,1,1,0
2010,Cote d'Ivoire,7.53999,-5.54708,Eritrea,G / FA,1,1,0,1,0,0,0,1,1,0
2002,Cote d'Ivoire,7.53999,-5.54708,Eritrea,J / FI,2,2,0,0,0,1,0,1,1,1
2004,Cote d'Ivoire,7.53999,-5.54708,Eritrea,J / FI,1,1,0,0,0,0,0,,1,1
2005,Cote d'Ivoire,7.53999,-5.54708,Eritrea,G / FI,1,0,0,0,0,1,0,1,0,0
2011,Cote d'Ivoire,7.53999,-5.54708,Eritrea,J / FA,1,1,0,0,0,0,0,,1,1
2012,Cote d'Ivoire,7.53999,-5.54708,Eritrea,J / FI,1,1,0,0,0,0,1,1,0,0
2014,Croatia,45.1,15.2,Eritrea,G / JR,0,0,0,0,0,0,0,,*,*
2014,Croatia,45.1,15.2,Eritrea,G / FI,*,*,0,*,0,0,*,5,0,0
2012,Croatia,45.1,15.2,Eritrea,G / FI,3,3,22,1,0,3,13,17,8,8
2013,Croatia,45.1,15.2,Eritrea,G / FI,8,8,20,0,1,1,25,27,1,1
2011,Croatia,45.1,15.2,Eritrea,G / FI,0,0,9,0,0,0,6,6,3,3
2013,Croatia,45.1,15.2,Eritrea,G / JR,0,0,2,0,0,2,0,2,0,0
2005,Croatia,45.1,15.2,Eritrea,G / FI,0,0,1,0,0,0,1,1,0,0
2009,Croatia,45.1,15.2,Eritrea,G / FI,0,0,1,0,0,0,0,,1,1
2010,Croatia,45.1,15.2,Eritrea,G / FI,1,1,0,0,0,0,1,1,0,0
2010,Cuba,21.52176,-77.78117,Eritrea,U / FA,0,0,15,3,0,1,5,9,6,6
2007,Cuba,21.52176,-77.78117,Eritrea,U / FA,1,1,5,5,0,0,0,5,1,0
2000,Cuba,21.52176,-77.78117,Eritrea,U / FI,0,0,4,3,0,0,0,3,1,1
2006,Cuba,21.52176,-77.78117,Eritrea,U / FA,1,0,2,1,0,0,1,2,1,1
2008,Cuba,21.52176,-77.78117,Eritrea,U / FA,1,0,2,2,0,0,1,3,0,0
2005,Cuba,21.52176,-77.78117,Eritrea,U / FI,0,0,1,0,0,0,0,,1,0
2009,Cuba,21.52176,-77.78117,Eritrea,U / FA,0,0,1,1,0,0,0,1,0,0
2011,Cuba,21.52176,-77.78117,Eritrea,U / FA,6,6,1,7,0,0,0,7,0,0
2001,Cuba,21.52176,-77.78117,Eritrea,U / FI,1,1,0,0,0,1,0,1,0,0
2013,Cyprus,35.12641,33.42986,Eritrea,G / FI,0,0,3,2,0,0,0,2,1,0
2004,Cyprus,35.12641,33.42986,Eritrea,G / FI,1,0,2,0,0,1,0,1,2,0
2006,Cyprus,35.12641,33.42986,Eritrea,G / FI,3,0,2,0,0,0,0,,5,0
2010,Cyprus,35.12641,33.42986,Eritrea,G / FI,0,0,2,0,0,0,0,,2,0
2003,Cyprus,35.12641,33.42986,Eritrea,G / FI,0,0,1,0,0,0,0,,1,0
2005,Cyprus,35.12641,33.42986,Eritrea,G / FI,2,0,1,0,0,0,0,,3,0
2009,Cyprus,35.12641,33.42986,Eritrea,G / AR,0,0,1,0,0,0,0,,1,0
2011,Cyprus,35.12641,33.42986,Eritrea,G / FI,2,0,1,2,0,0,1,3,0,0
2007,Cyprus,35.12641,33.42986,Eritrea,G / FI,5,0,0,0,0,0,1,1,4,0
2008,Cyprus,35.12641,33.42986,Eritrea,G / FI,4,0,0,0,0,0,1,1,3,0
2009,Cyprus,35.12641,33.42986,Eritrea,G / FI,3,0,0,0,0,1,2,3,0,0
2010,Cyprus,35.12641,33.42986,Eritrea,G / AR,1,0,0,0,0,0,0,,1,0
2011,Cyprus,35.12641,33.42986,Eritrea,G / AR,1,0,0,0,0,1,0,1,0,0
2012,Cyprus,35.12641,33.42986,Eritrea,G / FI,0,0,0,0,0,0,0,,0,0
2012,Cyprus,35.12641,33.42986,Eritrea,G / AR,0,0,0,0,0,0,0,,0,0
2014,Cyprus,35.12641,33.42986,Eritrea,G / FI,*,0,0,*,0,0,0,*,0,0
2014,Czech Republic,49.81749,15.47296,Eritrea,G / RA,0,0,0,0,0,0,0,,0,0
2011,Czech Republic,49.81749,15.47296,Eritrea,G / FI,0,0,10,1,0,0,0,1,0,0
2000,Czech Republic,49.81749,15.47296,Eritrea,G / FI,0,0,2,0,0,0,1,1,1,1
2009,Czech Republic,49.81749,15.47296,Eritrea,G / FI,0,0,1,0,0,0,1,1,0,0
2012,Czech Republic,49.81749,15.47296,Eritrea,G / FI,9,0,1,0,10,0,0,10,0,0
2013,Czech Republic,49.81749,15.47296,Eritrea,G / FI,0,0,1,0,0,0,0,,1,0
2008,Czech Republic,49.81749,15.47296,Eritrea,G / FI,2,2,0,1,0,0,0,1,1,1
2009,Czech Republic,49.81749,15.47296,Eritrea,G / AR,1,1,0,0,0,1,0,1,0,0
2014,Czech Republic,49.81749,15.47296,Eritrea,G / FI,*,0,0,0,*,0,0,*,0,0
2014,Denmark,56.26392,9.50179,Eritrea,G / RA,0,0,0,0,0,0,0,,0,0
2014,Denmark,56.26392,9.50179,Eritrea,G / FI,13,0,2285,193,17,9,0,219,1264,0
2013,Denmark,56.26392,9.50179,Eritrea,G / FI,12,0,98,34,17,8,0,59,13,0
2012,Denmark,56.26392,9.50179,Eritrea,G / FI,2,0,57,1,6,3,0,10,12,0
2009,Denmark,56.26392,9.50179,Eritrea,G / FI,3,0,37,0,3,1,0,4,14,0
2010,Denmark,56.26392,9.50179,Eritrea,G / FI,14,0,26,5,9,9,0,23,17,0
2011,Denmark,56.26392,9.50179,Eritrea,G / FI,1,0,20,3,4,8,0,15,2,0
2004,Denmark,56.26392,9.50179,Eritrea,G / FI,0,0,18,3,1,6,0,10,0,0
2008,Denmark,56.26392,9.50179,Eritrea,G / FI,2,0,15,0,3,0,0,3,3,0
2013,Denmark,56.26392,9.50179,Eritrea,G / AR,4,0,15,3,8,0,0,11,6,0
2014,Denmark,56.26392,9.50179,Eritrea,G / AR,6,0,10,*,*,*,0,9,*,0
2000,Denmark,56.26392,9.50179,Eritrea,G / FI,0,0,9,0,6,1,0,7,5,0
2005,Denmark,56.26392,9.50179,Eritrea,G / FI,0,0,8,0,0,1,0,1,7,0
2007,Denmark,56.26392,9.50179,Eritrea,G / FI,7,0,6,0,0,0,0,,2,0
2003,Denmark,56.26392,9.50179,Eritrea,G / FI,0,0,5,0,0,0,0,,0,0
2006,Denmark,56.26392,9.50179,Eritrea,G / FI,7,0,5,0,0,2,1,3,7,0
2012,Denmark,56.26392,9.50179,Eritrea,G / AR,0,0,4,0,4,2,0,6,4,0
2001,Denmark,56.26392,9.50179,Eritrea,G / FI,5,0,3,0,0,2,0,2,6,0
